,Nome,Região,Período,Resultado,ds_nome,value
0,População total,Água Rasa (Distrito),2006,85473,AGUA RASA,85473.0
1,População total,Água Rasa (Distrito),2016,83683,AGUA RASA,83683.0
2,População total,Água Rasa (Distrito),2012,84576,AGUA RASA,84576.0
3,População total,Água Rasa (Distrito),2003,85775,AGUA RASA,85775.0
4,População total,Água Rasa (Distrito),2015,83960,AGUA RASA,83960.0
5,População total,Água Rasa (Distrito),2020,82564,AGUA RASA,82564.0
6,População total,Água Rasa (Distrito),2009,85053,AGUA RASA,85053.0
7,População total,Água Rasa (Distrito),1998,88162,AGUA RASA,88162.0
8,População total,Água Rasa (Distrito),2007,85332,AGUA RASA,85332.0
9,População total,Água Rasa (Distrito),2011,84774,AGUA RASA,84774.0
10,População total,Água Rasa (Distrito),1999,87127,AGUA RASA,87127.0
11,População total,Água Rasa (Distrito),2018,83127,AGUA RASA,83127.0
12,População total,Água Rasa (Distrito),2002,85916,AGUA RASA,85916.0
13,População total,Água Rasa (Distrito),2017,83406,AGUA RASA,83406.0
14,População total,Água Rasa (Distrito),2014,84168,AGUA RASA,84168.0
15,População total,Água Rasa (Distrito),2004,85682,AGUA RASA,85682.0
16,População total,Água Rasa (Distrito),2019,82846,AGUA RASA,82846.0
17,População total,Água Rasa (Distrito),1996,90140,AGUA RASA,90140.0
18,População total,Água Rasa (Distrito),2000,85992,AGUA RASA,85992.0
19,População total,Água Rasa (Distrito),2005,85593,AGUA RASA,85593.0
20,População total,Água Rasa (Distrito),2010,84971,AGUA RASA,84971.0
21,População total,Água Rasa (Distrito),1997,89151,AGUA RASA,89151.0
22,População total,Água Rasa (Distrito),2013,84373,AGUA RASA,84373.0
23,População total,Água Rasa (Distrito),2001,86000,AGUA RASA,86000.0
24,População total,Água Rasa (Distrito),2008,85189,AGUA RASA,85189.0
25,População total,Alto de Pinheiros (Distrito),2004,43969,ALTO DE PINHEIROS,43969.0
26,População total,Alto de Pinheiros (Distrito),2011,42927,ALTO DE PINHEIROS,42927.0
27,População total,Alto de Pinheiros (Distrito),2000,44513,ALTO DE PINHEIROS,44513.0
28,População total,Alto de Pinheiros (Distrito),2016,41882,ALTO DE PINHEIROS,41882.0
29,População total,Alto de Pinheiros (Distrito),2017,41651,ALTO DE PINHEIROS,41651.0
30,População total,Alto de Pinheiros (Distrito),2012,42724,ALTO DE PINHEIROS,42724.0
31,População total,Alto de Pinheiros (Distrito),2009,43218,ALTO DE PINHEIROS,43218.0
32,População total,Alto de Pinheiros (Distrito),2019,41191,ALTO DE PINHEIROS,41191.0
33,População total,Alto de Pinheiros (Distrito),2002,44282,ALTO DE PINHEIROS,44282.0
34,População total,Alto de Pinheiros (Distrito),2006,43698,ALTO DE PINHEIROS,43698.0
35,População total,Alto de Pinheiros (Distrito),2020,40962,ALTO DE PINHEIROS,40962.0
36,População total,Alto de Pinheiros (Distrito),2018,41421,ALTO DE PINHEIROS,41421.0
37,População total,Alto de Pinheiros (Distrito),1996,47130,ALTO DE PINHEIROS,47130.0
38,População total,Alto de Pinheiros (Distrito),2010,43128,ALTO DE PINHEIROS,43128.0
39,População total,Alto de Pinheiros (Distrito),1997,46495,ALTO DE PINHEIROS,46495.0
40,População total,Alto de Pinheiros (Distrito),2014,42318,ALTO DE PINHEIROS,42318.0
41,População total,Alto de Pinheiros (Distrito),2003,44117,ALTO DE PINHEIROS,44117.0
